DATE,TOTAL BILLS,INVOICE RANGE,TOTAL TAXABLE AMOUNT,TOTAL TAX AMOUNT,Taxable Amount 0%,Taxable Amount 5%,Taxable Amount 12%,Taxable Amount 18%,TOTAL AMOUNT,CASH,CARD,OTHER MODES,AMOUNT RETURN,AMOUNT RETURN TO CREDIT,TOTAL ITEMS SOLD,TOTAL QTY,RETURNED ITEMS COUNT,RETURNED QTY
30-May-20,58,"A/2021/740, A/2021/797",51578.7,3685.3,4800,40552.38,5450.89,5575.42,60064,7815,36620,16940,1311,0,290,410,0,0
29-May-20,47,"A/2021/697, A/2021/739",57521.19,3952.4,4276.42,46664.65,5583.51,5273.02,65750,33860,27720,5280,1110,0,243,399,6,9
28-May-20,33,"A/2021/665, A/2021/696",44597.42,3955.38,1760,30110.67,2629.46,11857.29,50313,21123,21425,10245,2480,0,148,279,1,3
27-May-20,23,"A/2021/642, A/2021/664",27564.63,3740.37,2460,8990.48,875,17699.15,33765,13595,11695,9985,1510,0,78,113,0,0
26-May-20,13,"A/2021/629, A/2021/641",9979.64,1759.36,1597,276.19,17.86,9685.59,13336,1390,10357,1699,110,0,29,36,0,0
25-May-20,24,"A/2021/605, A/2021/628",22742.13,3552.87,2884,3928.57,500,18313.56,29179,3735,17089,9960,1605,0,50,73,0,0
24-May-20,19,"A/2021/586, A/2021/604",7810.73,909.27,2968,2666.67,2500,2644.07,11688,2498,7335,2035,180,0,46,71,0,0
23-May-20,29,"A/2021/557, A/2021/585",14988.3,1646.7,5315,6757.14,2879.46,5351.69,21950,3125,12955,6085,215,0,97,138,0,0
22-May-20,23,"A/2021/535, A/2021/556",8975,915,2280,4885.71,1089.29,3000,12170,3780,7085,1825,520,0,57,77,1,1
21-May-20,23,"A/2021/512, A/2021/534",15900.75,2162.18,1837.07,5112.31,589.29,10199.15,19900,3630,14915,2190,835,0,53,74,0,0
20-May-20,15,"A/2021/497, A/2021/511",10510.94,1186.12,2557.94,5198.82,500,4812.12,14255,12865,1220,705,535,0,38,120,0,0
19-May-20,7,"A/2021/490, A/2021/496",2552.5,207.5,260,1938.1,0,614.41,3020,755,2085,250,70,0,16,19,0,0
18-May-20,17,"A/2021/473, A/2021/489",16426.86,2103.14,2550,5833.33,1589.29,9004.24,21080,2870,16725,1830,345,0,63,92,0,0
17-May-20,28,"A/2021/445, A/2021/472",22158.99,2789.81,2285.2,8298.51,2000,11860.49,27234,18619,7420,4045,2850,0,71,115,0,0
16-May-20,33,"A/2021/412, A/2021/444",40140.02,4888.98,4283,16489.52,3209.82,20440.68,49312,30307,11265,9075,1335,0,123,227,0,0
15-May-20,14,"A/2021/398, A/2021/411",15666.09,2315.91,1895,3415.24,1000,11250.85,19877,15600,720,4432,875,0,46,68,0,0
14-May-20,10,"A/2021/388, A/2021/397",11129.13,1710.87,522,1890.48,776.79,8461.86,13362,3170,9577,1020,405,0,29,39,0,0
13-May-20,16,"A/2021/372, A/2021/387",5371.67,558.33,2299,3142.86,0,2228.81,8229,3414,4520,1340,1045,0,40,56,0,0
12-May-20,7,"A/2021/365, A/2021/371",9310.01,1499.99,1015,1352.38,0,7957.63,11825,500,11520,0,195,0,14,15,0,0
11-May-20,12,"A/2021/353, A/2021/364",5018.93,496.07,2685,3133.33,0,1885.59,8200,2360,2225,3990,375,0,28,42,0,0
10-May-20,7,"A/2021/346, A/2021/352",7163.96,656.04,560,4790.48,178.57,2194.92,8380,2260,5700,580,160,0,28,44,0,0
09-May-20,24,"A/2021/323, A/2021/345",14221.27,1308.73,1630,9623.81,0,4597.46,17160,7285,9060,5095,4280,0,75,146,5,30
08-May-20,16,"A/2021/307, A/2021/322",13901.74,830.26,1540,12861.9,0,1039.83,16272,7470,6862,2600,660,0,50,106,0,0
07-May-20,4,"A/2021/303, A/2021/306",2589.02,210.98,210,1961.9,0,627.12,3010,2000,480,560,30,0,16,29,0,0
06-May-20,15,"A/2021/288, A/2021/302",5770.16,524.84,390,3828.61,267.86,1673.7,6685,3550,2940,995,800,0,36,53,0,0
05-May-20,15,"A/2021/273, A/2021/287",12006.34,856.47,1477.19,10035.92,0,1970.41,14340,3370,9400,1680,110,0,52,99,0,0
04-May-20,11,"A/2021/262, A/2021/272",3271.73,353.27,380,1771.43,89.29,1411.02,4005,4430,1460,1100,2985,0,20,33,0,0
03-May-20,10,"A/2021/252, A/2021/261",5807.1,577.9,770,3595.24,0,2211.86,7155,1100,5580,560,85,0,31,62,0,0
02-May-20,15,"A/2021/237, A/2021/251",11165.2,804.8,1120,9190.48,169.64,1805.08,13090,4520,2520,6540,490,0,42,82,0,0
01-May-20,6,"A/2021/231, A/2021/236",3443.56,216.44,0,3061.9,89.29,292.37,3660,1020,150,2490,0,0,22,36,0,0
30-Apr-20,15,"A/2021/216, A/2021/230",5053.83,366.17,6885,4180.95,0,872.88,12305,1650,3650,7315,310,0,31,36,0,0
29-Apr-20,13,"A/2021/203, A/2021/215",6543.99,531.01,210,4976.19,0,1567.8,7285,1500,3350,3085,650,0,38,71,0,0
28-Apr-20,8,"A/2021/195, A/2021/202",5323.89,276.11,0,5247.62,0,76.27,5600,3850,1980,280,510,0,19,29,0,0
27-Apr-20,13,"A/2021/182, A/2021/194",11206.13,793.87,940,9409.52,0,1796.61,12940,4480,4010,4940,490,0,54,73,0,0
26-Apr-20,21,"A/2021/165, A/2021/181",13186.28,823.72,800,11938.1,-35.71,1283.9,14810,6170,6640,4480,2480,0,60,109,4,8
25-Apr-20,10,"A/2021/155, A/2021/164",7427.6,577.4,1560,5842.86,0,1584.75,9565,620,8210,735,0,0,35,49,0,0
23-Apr-20,5,"A/2021/150, A/2021/154",1470.14,109.86,2800,1190.48,0,279.66,4380,2770,0,2060,450,0,17,21,0,0
22-Apr-20,8,"A/2021/142, A/2021/149",2393.3,176.7,410,1723.81,500,169.49,2980,500,1135,1615,270,0,19,25,0,0
21-Apr-20,4,"A/2021/138, A/2021/141",854.4,95.6,1060,447.62,0,406.78,2010,2000,1610,0,1600,0,10,13,0,0
20-Apr-20,7,"A/2021/131, A/2021/137",709.12,50.88,440,590.48,0,118.64,1200,1120,0,740,660,0,10,11,0,0
19-Apr-20,3,"A/2021/128, A/2021/130",2544.45,195.55,160,1895.24,267.86,381.36,2900,3060,0,240,400,0,14,22,0,0
