NAME,BRAND,UOM,CATEGORY,SUB CATEGORY,TAX CODE,QTY SOLD,NO. OF BILLS,TAXABLE AMOUNT,REVENUE,MRP,SP/WP/SPLP/OP,CP
Size 5 Clay Cookware,Clay Pots,1 pkt,Miscellaneous,Miscellaneous,5,1,1,104.76,110,120,110,180.47
Clay Kadai Small,Clay Pots,1 pkt,Snacks,Home Made,5,1,1,161.9,170,190,170,23.1
Cow Pea (Alasandalu) 250g,Prakruthivanam,1 pkt,Seeds And Grains,Grains,5,78,57,2600,2730,35,35,23
Jeera 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,54.29,57,60,57,45
Cow Pea (Alasandalu) 500g,Prakruthivanam,1 pkt,Seeds And Grains,Grains,5,131,113,8109.52,8515,65,65,51
Clay Kadai Bigsize,Clay Pots,1 ltr,Household,Cookware,0,4,4,880,880,250,220,125
Coconut Oil 200ml ,Prakruthivanam,1 ltr,Miscellaneous,Miscellaneous,5,1,1,129.45,135.92,140,135.92,112
Pumpkin Seeds - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,0,1,1,145.63,145.63,150,145.63,110
Korralu (Foxtail) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,2,1,221.91,233.01,120,116.5,92.4
Sunni Pindi 200g,Prakruthivanam,1 pc,Personal Care,Skin Care,12,1,1,86.69,97.09,100,97.09,70.56
Hot Sajja Vada 200g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,92.46,97.09,100,97.09,70.35
Neem Leaves Powder 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,46.23,48.54,50,48.54,39
Turmeric Powder 250g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,1,1,92.46,97.09,100,97.09,76
Ragulu Flour 1kg,Prakruthivanam,1 pc,Millet,Millet Flour,5,2,1,129.45,135.92,70,67.96,53.55
Anjeer - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,12,1,1,251.39,281.55,290,281.55,246.4
Badam Regular - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,0,1,1,228.16,228.16,235,228.16,180
Red Gram Split 500g,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,5,16,4,1219.05,1280,85,80,64
Safflowe Oil - 500ml,Surabhi Healthy Life,1 ltr,Miscellaneous,Miscellaneous,0,1,1,209.55,209.55,210,209.55,168
Gingelly Oil 1Lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,2,1,988.37,1037.79,520,518.9,365
GreenGram Whole 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,2,1,304.11,319.32,160,159.66,115
Ragulu Flour 1kg,Prakruthivanam,1 pc,Millet,Millet Flour,5,2,1,133.05,139.7,70,69.85,53.55
Pacha Jonna Flour -1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,2,1,228.09,239.49,120,119.75,95.55
Groundnut Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,2,1,779.29,818.26,410,409.13,309
Pure&Sure Sun Flower Oil 1ltr,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,5,1,1,380.14,399.15,400,399.15,300
Honey Farm Collection 1kg ,Prakruthivanam,1 pc,Branded Foods,Honey,5,2,1,741.28,778.34,390,389.17,288.75
Wheat Flour 1kg,Prakruthivanam,1 pc,Grocery & Staples,Flours & Staples,5,2,1,209.08,219.53,110,109.77,82.01
Coconut Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,1,1,513.19,538.85,540,538.85,430
Bathroom Cleaner 500ml,Herbal Strategi,1 ltr,Household,Cleaning Accessories,18,40,37,4406.78,5200,130,130,104.01
Big Ladles,The Kind Earth,1 mtr,Household Supplies,Kitchen Essentials,5,1,1,52.38,55,65,55,42
Coconut Soap Holder,The Kind Earth,1 pc,Miscellaneous,Miscellaneous,5,16,14,1904.76,2000,125,125,73.5
GCC Soapnut Hair Wash - 500ml,GCC,1 ml,Miscellaneous,Miscellaneous,18,10,9,1906.78,2250,225,225,224.2
MittiSe Floor/Multipurpose Cleaner 50ml,MittiSe,1 ltr,Miscellaneous,Miscellaneous,18,1,1,0,0,250,0,175.01
Native Circle Anti Tan Face Scrub,NATIVE CIRCLE,1 grm,Miscellaneous,Miscellaneous,0,24,24,6000,6000,250,250,171
Timbaktu Organic Roasted Peanut 250g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,18,1,1,48.02,56.67,85,56.67,61.96
Timbaktu Organic Ragi Vamu Mixture 250g,Timbaktu,1 ltr,Miscellaneous,Miscellaneous,18,1,1,36.72,43.33,65,43.33,47.45
Timbaktu Organic Roasted Peanut 250g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,18,2,1,123.49,145.71,85,72.86,61.96
Neem & Tulsi Soap100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,1,1,65.38,77.14,90,77.14,63
Single Polished Rice 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,1,1,73.47,77.14,90,77.14,75
Mittise Antihairfall Oil 100ml,MittiSe,1 ltr,Custom,Custom,18,1,1,213.01,251.35,310,251.35,217
Dantha Manjan Tooth Powder 50g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,12,1,1,43.44,48.65,60,48.65,54
Clay Jug Smallsize,Clay Pots,1 ltr,Household,Cookware,0,30,26,4950,4950,165,165,0
Hair Treatment Powder 180rps,Radico,1 pc,Miscellaneous,Miscellaneous,18,5,4,762.71,900,180,180,138.06
Mitti Se Conditioning Shampoo 40g,MittiSe,1 kg,Miscellaneous,Miscellaneous,18,8,7,3254.24,3840,480,480,335.9
Channa Flour 500g,Prakruthivanam,1 pkt,Miscellaneous,Miscellaneous,5,182,140,17333.33,18200,100,100,80
Wheat Flour-1kg-pvs,Prakruthivanam,1 pc,Grocery & Staples,Flours & Staples,5,1015,585,87000,91350,90,90,72.45
Kiwi - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,0,1,1,122.82,122.82,127,122.82,95
Kishmish Yellow - 250g,Dry Fruits,1 grm,Custom,Custom,0,1,1,91.88,91.88,95,91.88,70
Korralu Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,1,1,73.69,77.37,80,77.37,61.95
Badam Regular - 250g,Dry Fruits,1 grm,Custom,Custom,0,1,1,207.93,207.93,215,207.93,188.16
Clay Water Pots Big,Clay Pots,1 ltr,Household,Cookware,0,2,2,800,800,650,400,300
Unpolished Rice 1kg,Prakruthivanam,1 pc,Grains,Rice,5,-1,1,-71.43,-75,85,75,70
Jeera 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,2,1,95.24,100,60,50,45
Honey Farm Collection 1kg ,Prakruthivanam,1 pc,Branded Foods,Honey,5,1,1,349.14,366.6,390,366.6,288.75
Unpolished Rice 1kg,Prakruthivanam,1 pc,Grains,Rice,5,62,3,4428.57,4650,85,75,70
Watermelon Seeds - 250g,Dry Fruits,1 grm,Custom,Custom,0,4,3,440,440,110,110,89.25
SunFlower Seeds - 250g,Dry Fruits,1 grm,Custom,Custom,0,2,2,150,150,75,75,57.75
Size 1 Clay Cookware,Clay Pots,1 ml,Miscellaneous,Miscellaneous,0,3,3,840,840,300,280,150
Channa White 500g,Prakruthivanam,1 pkt,Grocery & Staples,Dals With Husk,5,280,240,21333.33,22400,70,80,53.55
Badam Regular - 250g,Dry Fruits,1 grm,Custom,Custom,0,3,1,645,645,215,215,188.16
Black Gram Split 1kg,Prakruthivanam,1 pc,Grocery & Staples,Dals With Husk,5,833,455,126933.33,133280,150,160,117
Watermelon Seeds - 250g,Dry Fruits,1 grm,Custom,Custom,0,1,1,108.91,108.91,110,108.91,89.25
Multani Mitti Face Pack 100g,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,12,1,1,26.52,29.7,30,29.7,24.53
Pumpkin Seeds - 250g,Dry Fruits,1 grm,Custom,Custom,0,1,1,148.51,148.51,150,148.51,128.8
Badam Regular - 250g,Dry Fruits,1 grm,Custom,Custom,0,1,1,212.87,212.87,215,212.87,188.16
Pumpkin Seeds - 250g,Dry Fruits,1 grm,Custom,Custom,0,1,1,150,150,150,150,128.8
Clay Water Pots Small,Clay Pots,1 pc,Household,Cookware,0,3,3,900,900,450,300,200
Pure&Sure Sambar Powder 100g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,5,30,29,2000,2100,70,70,52.5
Size 4 Clay Cookware,Clay Pots,1 pc,Household,Cookware,0,1,1,140,140,150,140,80
Pumpkin Seeds - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,12,18,15,2410.71,2700,150,150,128.8
Jowar (jonnalu)-1kg-pvs,Prakruthivanam,1 pc,Seeds And Grains,Grains,5,588,370,28000,29400,50,50,39.9
Dates 500g,Prakruthivanam,1 pc,Dry Fruit,Dry Fruit,12,190,127,42410.71,47500,250,250,192
Kishmish Yellow - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,5,2,1,180.95,190,95,95,71.4
Anjoor - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,12,8,8,2250,2520,315,315,280
Nannari  750ml,GCC,1 pc,Sharbat Falooda & Juices,Sharbat,18,1,1,123.27,145.45,160,145.45,159.3
Pacha Jonna Flour 500g,Prakruthivanam,1 pc,Grocery & Staples,Flours & Staples,5,1,1,51.95,54.55,60,54.55,46.2
Watermelon Seeds - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,5,8,8,838.1,880,110,110,89.25
SunFlower Seeds - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,5,18,14,1285.71,1350,75,75,57.75
Jonna Ravva 500g,Prakruthivanam,500 kg,ORGANIC PRODUCTS,Millet Ravva,5,1,1,0,0,50,0,33.6
Udarlu (Barnyard) 1kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,0,0,210,0,168
Native Circle Skin Revitalising Face Scrub,NATIVE CIRCLE,1 grm,Miscellaneous,Miscellaneous,0,18,20,4500,4500,250,250,171
Native Circle Tone&Fit -Pack of 10 Infusion Bags,Native Circle,1 kg,Miscellaneous,Miscellaneous,5,7,6,666.67,700,100,100,78.39
Pure&Sure Tamarind 500g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,0,207,175,40365,40365,195,195,146.25
Ragulu 1kg,Prakruthivanam,1 pc,Millet,Millet,5,1,1,52.38,55,60,55,46.2
Badam Regular - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,12,6,6,1151.79,1290,215,215,188.16
Kishmish Yellow - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,5,6,6,514.29,540,90,90,71.4
Native Circle Pigmentation Cure Facepack,NATIVE CIRCLE,1 grm,Miscellaneous,Miscellaneous,0,23,23,5750,5750,250,250,171
Groundnut Oil 1lt,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,1,1,361.9,380,410,380,309
Timbaktu Organic Peanut Peda 150g,Timbaktu,1 kg,Custom,Custom,18,2,2,122.03,144,80,72,60
Kitchen Cleaner 500ml,Herbal Strategi,1 ltr,Household,Kitchen Cleaner,18,46,46,5067.8,5980,130,130,104.01
Nalla Karam (Guntur Karam) 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,54.29,57,60,57,42
Size 1 Clay Cookware,Clay Pots,1 ml,Miscellaneous,Miscellaneous,0,4,2,1140,1140,300,285,150
Dates 500g,Prakruthivanam,1 pc,Dry Fruit,Dry Fruit,12,2,1,424.11,475,250,237.5,200
Sweet Sajja Vada 200g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,90.48,95,100,95,70.35
Kishmish Yellow - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,5,1,1,81.43,85.5,90,85.5,71.4
Nannari  750ml,GCC,1 pc,Sharbat Falooda & Juices,Sharbat,18,1,1,133.92,158.02,160,158.02,159.3
Cloth Bag 15rs,Cloth Bag,1 pc,Custom,Custom,5,2,2,28.22,29.62,15,14.81,12.08
Palm Jaggery (Small Cubes) 500g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,0,1,1,227.16,227.16,230,227.16,195
Black Gram Without Husk 1kg,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,1121,679,192171.43,201780,180,180,144
Chill Powder 1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,29,20,10495.24,11020,380,380,320
Channa Dal 250g,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,2,1,76.19,80,45,40,34
Watermelon Seeds - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,5,1,1,95.24,100,110,100,89.25
Unpolished Rice 1kg,Prakruthivanam,1 pc,Grains,Rice,5,2,1,161.71,169.8,85,84.9,70
Floor Cleaner 500ml,Herbal Strategi,1 ltr,ALL PURPOSE CLEANERS,Floor Cleaners,18,1,1,82.95,97.88,98,97.88,78.4
Triphala Churn 200g,Arogya Rahasya,1 grm,Masala & Spices,Powder,5,1,1,71.34,74.91,75,74.91,56.25
Dates 250g,Prakruthivanam,1 pc,Dry Fruit,Dry Fruit,12,1,1,115.93,129.84,130,129.84,104
 Red Rice 1kg,Prakruthivanam,1 pc,Grains,Rice,5,1,1,85.61,89.89,90,89.89,70.35
Nalla Karam (Guntur Karam) 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,57.07,59.93,60,59.93,42
Shampoo 600ml,Prakruthivanam,1 pc,Personal Care,Shampoo,18,2,1,643.3,759.09,380,379.54,274.94
MittiSe Coconut & Herbs Anti-Hairfall Oil 100ml,MittiSe,1 ml,Miscellaneous,Miscellaneous,18,1,1,296.25,349.58,350,349.58,245
Natural Fabric Wash 500ml,Herbal Strategi,1 ltr,Household,"Towels, Napkins & Other Cleaners",18,1,1,186.22,219.74,220,219.74,160
Bamboo Tongue Cleaners,The Kind Earth,1 pc,Household Care,Household Cleaner,5,4,1,152.2,159.81,40,39.95,26.25
Curry Leafpowder 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,76.1,79.9,80,79.9,56
Mittise Antihairfall Oil 100ml,MittiSe,1 ltr,Custom,Custom,18,1,1,262.4,309.63,310,309.63,217
Nature Drop Dish Wash 500ml,Herbal Strategi,1 ltr,Household,Dishwash,18,2,1,257.63,304,160,152,127.99
Cloves 50g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,99.52,104.5,110,104.5,88.2
Pepper 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,2,2,217.14,228,120,114,92
Timbaktu Groundnut Oil 5 ltr,Timbaktu,1 ltr,Miscellaneous,Miscellaneous,5,1,1,1583.33,1662.5,1750,1662.5,1277.5
Single Handle Dosa Tawa ,Noor Pans,1 pc,Miscellaneous,Miscellaneous,12,18,20,15267.86,17100,950,950,739.45
Red Gram Split 500g,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,5,2,1,135.71,142.5,85,71.25,64
Mango Pickle 500g,Prakruthivanam,1 grm,Miscellaneous,Miscellaneous,12,1,1,245.98,275.5,290,275.5,218
Black Gram whole 500g,Prakruthivanam,1 grm,Grocery & Staples,Grains,5,190,126,14476.19,15200,80,80,58
Arikalu Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,1,1,97.3,102.16,105,102.16,79
Go Desi Lemon Chat 20rs,GO DESI,1 pc,Miscellaneous,Miscellaneous,5,1,1,18.53,19.46,20,19.46,16
Pacha Jonna Flour 500g,Prakruthivanam,1 pc,Grocery & Staples,Flours & Staples,5,1,1,55.6,58.38,60,58.38,46.2
Pure&Sure Organic Kodbale 200g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,12,1,1,79.82,89.4,90,89.4,67.49
Clay Kadai Big,Clay Pots,1 ltr,Household,Cookware,0,1,1,188.74,188.74,270,188.74,150
Bamboo Straws,Miscellaneous,1 mtr,Household Supplies,Kitchen Essentials,5,2,1,20.81,21.85,11,10.93,6.3
Bajra-1 Kg-pvs,Prakruthivanam,1 pc,Millet,Millet,5,583,445,27761.9,29150,50,50,37.8
Go Desi Real Aam 5rs,GO DESI,1 pc,Miscellaneous,Miscellaneous,5,1,1,4.05,4.25,5,4.25,4
Kishmish Yellow - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,5,1,1,72.86,76.5,90,76.5,71.4
Amla Pickle 300g,Prakruthivanam,1 pkt,Custom,Custom,12,1,1,129.02,144.5,170,144.5,128
Aloevera Juice 500ml,Arogya Rahasya,1 ml,Sharbat Falooda & Juices,Juices,12,1,1,98.66,110.5,130,110.5,91
Chia Seeds 100g,Prakruthivanam,1 grm,Masala & Spices,Spices,5,1,1,60.61,63.64,70,63.64,60
Single Polished Rice 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,2,1,155.84,163.64,90,81.82,75
Clay Jug Big Size,Miscellaneous,1 ltr,Household,Cookware,0,7,7,1400,1400,225,200,85
Jowar(jonnalu)flour-1kg-pvs,Prakruthivanam,1 kg,Grocery & Staples,Flours & Staples,5,452,325,25828.57,27120,60,60,45
Multani Mitti Face Pack 100g,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,12,1,1,26.52,29.7,30,29.7,24.53
Coconut Oil 200ml ,Prakruthivanam,1 ltr,Miscellaneous,Miscellaneous,5,1,1,131.99,138.59,140,138.59,112
Pure&Sure Coconut Milk 160ml,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,12,1,1,97.22,108.89,110,108.89,82.5
Badam Regular - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,12,1,1,190.03,212.83,215,212.83,188.16
Red Chilli 250g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,571,437,48942.86,51390,90,90,76
Channa Dal 500g,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,30,21,2285.71,2400,80,80,62
ChannaDal 1Kg,Prakruthivanam,1 pkt,Miscellaneous,Miscellaneous,5,167,128,25447.62,26720,160,160,123
Black Gingelly Seeds 1kg,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,138,117,22342.86,23460,170,170,136
Bottle Bigsize,Clay Pots,1 ltr,Household,Cookware,0,4,4,1000,1000,255,250,130
Honey Glass Bottle - 1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,367.05,385.4,410,385.4,305
Timbaktu Organic Peanut Butter 200g,Timbaktu ,1 kg,Miscellaneous,Miscellaneous,18,2,1,254.92,300.8,160,150.4,118.4
Rock Salt (GRANUALS) 1kg,Arogya Rahasya,1 kg,Masala & Spices,Powder,0,1,1,61.1,61.1,65,61.1,50
Chia Seeds 100g,Prakruthivanam,1 grm,Masala & Spices,Spices,5,1,1,62.67,65.8,70,65.8,60
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,2,2,214.86,225.6,120,112.8,80
Puro Salt 1kg,Sri venkateswara Enterprises,1 pkt,Salt- Sugar & Jaggery,Miscellaneous,0,3,2,310.2,310.2,110,103.4,87.5
Pure&Sure Organic Mustard Oil 500ml,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,5,1,1,226.5,237.82,253,237.82,189.75
Shampoo 200ml,Prakruthivanam,1 pc,Personal Care,Shampoo,18,1,1,111.53,131.6,140,131.6,97.94
Neem & Aloevera Soap 100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,1,1,71.69,84.6,90,84.6,63
Neem & Tulsi Soap100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,1,1,71.69,84.6,90,84.6,63
Nature Spray Sandal 200ml,Herbal Strategi,1 ltr,Household,Air Freshner,18,1,1,158.53,187.06,199,187.06,159.21
Green Gram Whole-1kg-pvs,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,443,356,59066.67,62020,140,140,107
Rajamudi Rice 1kg,Prakruthivanam,1 pkt,Miscellaneous,Miscellaneous,5,5,1,380.95,400,85,80,68
Surabhi Buffalo Ghee 250g,Surabhi Healthy Life,1 btl,Custom,Custom,12,25,23,5580.36,6250,250,250,224
Pacha Jonnalu 1kg,Prakruthivanam,1 pc,Millet,Millet,5,2,1,186.74,196.08,100,98.04,80
Jonnalu 1kg,Prakruthivanam,1 pc,Seeds And Grains,Grains,5,3,1,140.06,147.06,50,49.02,39.9
Arikalu (kodo) 1kg,Prakruthivanam,1 pc,Millet,Siri Dhanyalu,5,1,1,149.39,156.86,160,156.86,120
Arogya Dish Wash Powder 500g,Arogya Rahasya,1 grm,Household,Dishwash,5,1,1,23.77,24.96,25,24.96,21.25
 Rock Salt 1kg,Arogya Rahasya,1 kg,Masala & Spices,Powder,0,1,1,59.91,59.91,60,59.91,45
Honey Farm Collection 500g,Prakruthivanam,1 pc,Branded Foods,Honey,5,1,1,190.2,199.71,200,199.71,147
Jonna Laddu150g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,76.08,79.88,80,79.88,53.55
Shampoo 600ml,Prakruthivanam,1 pc,Personal Care,Shampoo,18,1,1,321.56,379.44,380,379.44,274.94
Methi 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,19.02,19.97,20,19.97,14.7
Nature Drop Dish Wash 500ml,Herbal Strategi,1 ltr,Household,Dishwash,18,1,1,135.39,159.77,160,159.77,127.99
Turmaric Powder (High Curcumin) 100g,Prakruthivanam,1 grm,Miscellaneous,Miscellaneous,5,2,1,85.59,89.87,45,44.93,34
Pappulapodi (Idly Karam) 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1,1,66.57,69.9,70,69.9,49
Floor Cleaner 500ml,Herbal Strategi,1 ltr,ALL PURPOSE CLEANERS,Floor Cleaners,18,1,1,82.93,97.86,98,97.86,78.4
Timbaktu Organic Ragi Dosa Mix 250g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,5,1,1,47.55,49.93,50,49.93,37.5
Puro Salt 1kg,Sri venkateswara Enterprises,1 pkt,Salt- Sugar & Jaggery,Miscellaneous,0,1,1,109.84,109.84,110,109.84,87.5
Neem & Tulsi Soap100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,3,1,228.48,269.6,90,89.87,63
Jeera 100g,Prakruthivanam,1 pc,Masala & Spices,Whole,5,1,1,57.06,59.91,60,59.91,45
Castor Oil 200ml,Prakruthivanam,1 pc,Personal Care,Hair Oil,5,2,1,152.16,159.77,80,79.88,64
Groundnuts 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,1,1,199.71,209.69,210,209.69,168
Clay Kadai Big,Clay Pots,1 ltr,Household,Cookware,0,2,1,420,420,270,210,150
Tap & Showe Cleaner 500ml,Herbal Strategi,1 ltr,Miscellaneous,Miscellaneous,18,2,2,338.98,400,200,200,160
Jaggery 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grocery,0,3,2,300,300,110,100,85
Water Filter 8000,Water Filter ,1 pc,Miscellaneous,Miscellaneous,18,39,39,264406.78,312000,8000,8000,6400
Black Gram Without Husk 1kg,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,3,2,0,0,180,0,144
Clay Water Pots Big,Clay Pots,1 ltr,Household,Cookware,0,1,1,350,350,450,350,300
Jeera 250gms-pvs,Prakruthivanam,1 pc,Masala & Spices,Whole,5,640,530,73142.86,76800,120,120,86
Moscups,Herbal Strategi,1 kg,Miscellaneous,Miscellaneous,5,1,1,57.14,60,75,60,60
Groundnut Laddu-100g,Prakruthivanam,1 pc,Snacks,Home Made,5,2,2,0,0,30,0,23.1
Bhringraj Powder 100g ,Radico,1 kg,Miscellaneous,Miscellaneous,18,4,2,847.46,1000,250,250,191.75
Amla Powder 180rps,Radico,1 pc,Miscellaneous,Miscellaneous,18,14,13,2135.59,2520,180,180,138.06
Clay Water Pots Small,Clay Pots,1 pc,Household,Cookware,0,10,10,4500,4500,450,450,120
Groundnuts 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,1,1,124.81,131.05,210,131.05,168
 Jaggery Fine Powder 1kg,Prakruthivanam,1 pc,Grocery & Staples,Jaggery Powder,0,1,1,124.81,124.81,200,124.81,160
GreenGram Whole 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,1,1,83.2,87.36,140,87.36,107
Jonna Flour 1kg,Prakruthivanam,1 kg,Grocery & Staples,Flours & Staples,5,1,1,35.66,37.44,60,37.44,45.05
Jaggery 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grocery,0,1,1,68.64,68.64,110,68.64,85
Red Gram Split 1kg,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,1,1,95.09,99.84,160,99.84,120
Black Gram Without Husk 1kg,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,1,1,106.98,112.33,180,112.33,144
White Gingelly Seeds 500g,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,1,1,77.26,81.12,130,81.12,103.95
Chilli Powder 250g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,1,1,59.43,62.4,100,62.4,85
Sunni Pindi 200g,Prakruthivanam,1 pc,Personal Care,Skin Care,12,1,1,87.82,98.36,100,98.36,70.56
 Rock Salt 1kg,Arogya Rahasya,1 kg,Masala & Spices,Powder,0,3,2,177.05,177.05,60,59.02,45
Channa Dal 500g,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,1,1,74.94,78.69,80,78.69,62
Groundnut Laddu-100g,Prakruthivanam,1 pc,Snacks,Home Made,5,1,1,23.81,25,30,25,23.1
Kaccha Aam Rs.5,GO DESI,1 box,Miscellaneous,Miscellaneous,5,9,2,40.71,42.75,5,4.75,4
Shampoo 600ml,Prakruthivanam,1 pc,Personal Care,Shampoo,18,13,6,3977.12,4693,380,361,274.94
Kitchen Cleaner 500ml,Herbal Strategi,1 ltr,Household,Kitchen Cleaner,18,1,1,112.71,133,140,133,112.01
Mosrelief,Herbal Strategi,1 pc,Household,Mosquito Repelent,18,9,5,615.89,726.75,85,80.75,68
Turmaric Powder (High Curcumin) 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,2,2,81.43,85.5,45,42.75,34
Go Desi Real Aam 5rs,GO DESI,1 pc,Miscellaneous,Miscellaneous,5,2,1,9.05,9.5,5,4.75,4
Palm Jaggry 1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,0,1,1,399,399,420,399,335
Methi 250g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,2,2,90.48,95,50,47.5,35.7
Native Circle Bio Enzyme 500ml,Native Circle ,1 ltr,Miscellaneous,Miscellaneous,18,1,1,0,0,250,0,196
Lime Stone 1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,10,1,1333.33,1400,140,140,50
transport,Travels/courier,1 kg,Miscellaneous,Miscellaneous,0,11,6,1650,1650,1,150,0
Sprouted Ragi Powder 500g,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,0,0,70,0,49.35
Ragulu Flour 500g,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,0,0,40,0,31.5
Shampoo 600ml,Prakruthivanam,1 pc,Personal Care,Shampoo,18,1,1,0,0,380,0,274.94
Native Circle Bio Enzyme 500ml,Native Circle ,1 ltr,Miscellaneous,Miscellaneous,18,1,1,186.44,220,220,220,196
Honey Farm Collection 500g,Prakruthivanam,1 pc,Branded Foods,Honey,5,8,8,1600,1680,210,210,147
Ragulu Flour 500g,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,37.27,39.13,40,39.13,31.5
Jaggery 500g,Prakruthivanam,1 pc,Grocery & Staples,"Salt, Sugar & Jaggery",0,1,1,58.7,58.7,60,58.7,45
