NAME,BRAND,UOM,CATEGORY,SUB CATEGORY,TAX CODE,QTY SOLD,NO. OF BILLS,TAXABLE AMOUNT,REVENUE,MRP,SP/WP/SPLP/OP,CP
Native Circle Indrani Body Massage Oil,NATIVE CIRCLE,1 ltr,Miscellaneous,Miscellaneous,12,7,7,1562.5,1750,250,250,171
Timbaktu Organic Drumstick Pickle -250g,Timbaktu,1 grm,Miscellaneous,Miscellaneous,12,2,2,446.43,500,250,250,250
Kandi Powder-100gms-pvs,Prakruthivanam,1 pc,Masala & Spices,Powder,5,307,268,8771.43,9210,30,30,21
MittiSe Coconut & Herbs Anti-Hairfall Oil 100ml,MittiSe,1 ml,Miscellaneous,Miscellaneous,18,4,4,1186.44,1400,350,350,245
Native Circle Herbal Shampoo 250ml,Native Circle ,1 ltr,Miscellaneous,Miscellaneous,18,78,70,13220.34,15600,200,200,156.8
Pacha Jonnalu-1 Kg-pvs,Prakruthivanam,1 pc,Millet,Millet,5,620,401,59047.62,62000,100,100,84
Pure&Sure Organic Rajma Beans 500g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,5,57,58,7328.57,7695,135,135,101.24
Chilli Powder 100g,Prakruthivanam,1 pc,Masala & Spices,Powder,5,56,45,3733.33,3920,70,70,52.5
Andu Korralu (Browntop) 1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,5,4,1190.48,1250,250,250,199
Red Rice Ravva 500,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,81,59,4242.86,4455,55,55,37.8
Water Filter ,Water Filter,1 pc,Water,Water,18,1,1,9830.51,11600,12000,11600,9400
Natural Sugar 1kg,Arogya Rahasya,1 kg,Grocery & Staples,"Salt, Sugar & Jaggery",5,2,2,190.48,200,120,100,80
Light Brown Organic Hair Colour 699rps,Radico,1 pc,Miscellaneous,Miscellaneous,18,9,10,5331.36,6291,699,699,536.13
Herbal Cockroach Repellent 100ml,Herbal Strategi,1 ltr,Household,Utensils & crockery,18,51,48,9508.47,11220,220,220,160
Gingelly Oil 500ml,Prakruthivanam,1 pc,Grocery & Staples,Cooking Oil,5,257,237,66085.71,69390,270,270,190
Moscups,Herbal Strategi,1 kg,Miscellaneous,Miscellaneous,5,17,11,1376.19,1445,85,85,68
Pure&Sure Sun Flower Oil 1ltr,Pure&Sure,1 ltr,Miscellaneous,Miscellaneous,5,1,1,379.9,398.89,400,398.89,300
Neem & Aloevera Soap 100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,1,1,76.06,89.75,90,89.75,63
Neem & Tulsi Soap100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,2,1,152.12,179.5,90,89.75,63
Plain Pista - 250g ,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,0,1,1,628.25,628.25,630,628.25,480
Kishmish Yellow - 250g,Dry Fruits,1 grm,Custom,Custom,0,1,1,94.74,94.74,95,94.74,70
Dryed Black Raisins - 250g,Dry Fruits,1 grm,Miscellaneous,Miscellaneous,0,1,1,129.64,129.64,249,129.64,85
Multigrain Malt Powder 250g,Prakruthivanam,1 pc,Millet,Millet Flour,5,1,1,75.98,79.78,80,79.78,57.75
Cow Milk & Sandal Wood Soap100g,Prakruthivanam,1 pc,Personal Care,Soaps,18,2,1,169.02,199.45,100,99.72,68.99
Pure&Sure Extra Vergin Olive Oil 500ml,Pure & Sure,1 ltr,Miscellaneous,Miscellaneous,5,32,31,20571.43,21600,675,675,506.25
Andu Korra Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,246,185,23428.57,24600,100,100,92.4
Surabhi Cow Ghee 500ml,Surabhi Healthy Life,1 btl,Miscellaneous,Miscellaneous,0,4,3,3980,3980,995,995,829.75
Pappulapodi (Idly Karam) 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,125,107,8333.33,8750,70,70,49
Varigalu 1 Kg-pvs,Prakruthivanam,1 pc,Millet,Millet,5,254,227,38704.76,40640,160,160,122.85
Pure&Sure Organic Saffron 0.5g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,5,157,129,33642.86,35325,225,225,168.75
Timbaktu Organic Groundnut Oil 1 ltr,Timbaktu,1 ltr,Miscellaneous,Miscellaneous,5,164,112,56228.57,59040,360,360,270
Pure&Sure Organic Green Tea 250g,Pure & Sure,1 kg,Miscellaneous,Miscellaneous,5,65,67,21666.67,22750,350,350,262.5
Mosrelief Machine&vaporizer,Herbal Strategi,1 ltr,Household,Mosquito Repelent,18,18,15,2440.68,2880,160,160,127.99
Lemon Grass Oil 100Ml,Miscellaneous,100 ml,Miscellaneous,Miscellaneous,18,38,27,16101.69,19000,500,500,359.9
Pure&Sure Organic Tender Jackfruit 200g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,12,3,3,241.07,270,90,90,75
250g White Gingerly Seeds,Prakruthivanam,1 pc,Seeds And Grains,Seeds,5,639,410,42600,44730,70,70,55.65
MittiSe Almond Oil 30ml,MittiSe,1 ltr,Miscellaneous,Miscellaneous,5,87,85,15742.86,16530,190,190,133
